0,17592186044415,0
1,17592169267200,0
2,17592152490000,0
3,17592135712815,0
4,17592118935647,0
5,17592102158495,0
6,17592085381359,0
7,17592068604239,0
8,17592051827135,0
9,17592035050047,0
10,17592018272975,0
11,17592001495919,0
12,17591984718879,0
13,17591967941855,0
14,17591951164847,0
15,17591934387855,0
16,17591917610879,0
17,17591900833919,0
18,17591884056975,0
19,17591867280047,0
20,17591850503135,0
21,17591833726239,0
22,17591816949359,0
23,17591800172495,0
24,17591783395647,0
25,17591766618815,0
26,17591749841999,0
27,17591733065199,0
28,17591716288415,0
29,17591699511647,0
30,17591682734895,0
31,17591665958159,0
32,17591649181439,0
33,17591632404735,0
34,17591615628047,0
35,17591598851375,0
36,17591582074719,0
37,17591565298079,0
38,17591548521455,0
39,17591531744847,0
40,17591514968255,0
41,17591498191679,0
42,17591481415119,0
43,17591464638575,0
44,17591447862047,0
45,17591431085535,0
46,17591414309039,0
47,17591397532559,0
48,17591380756095,0
49,17591363979647,0
50,17591347203215,0
51,17591330426799,0
52,17591313650399,0
53,17591296874015,0
54,17591280097647,0
55,17591263321295,0
56,17591246544959,0
57,17591229768639,0
58,17591212992335,0
59,17591196216047,0
60,17591179439775,0
61,17591162663519,0
62,17591145887279,0
63,17591129111055,0
64,17591112334847,0
65,17591095558655,0
66,17591078782479,0
67,17591062006319,0
68,17591045230175,0
69,17591028454047,0
70,17591011677935,0
71,17590994901839,0
72,17590978125759,0
73,17590961349695,0
74,17590944573647,0
75,17590927797614,0
76,17590911021598,0
77,17590894245598,0
78,17590877469614,0
79,17590860693646,0
80,17590843917694,0
81,17590827141758,0
82,17590810365838,0
83,17590793589934,0
84,17590776814046,0
85,17590760038174,0
86,17590743262318,0
87,17590726486478,0
88,17590709710654,0
89,17590692934846,0
90,17590676159054,0
91,17590659383278,0
92,17590642607518,0
93,17590625831774,0
94,17590609056045,0
95,17590592280333,0
96,17590575504637,0
97,17590558728957,0
98,17590541953293,0
99,17590525177645,0
100,17590508402013,0
101,17590491626397,0
102,17590474850797,0
103,17590458075213,0
104,17590441299645,0
105,17590424524093,0
106,17590407748557,0
107,17590390973036,0
108,17590374197532,0
109,17590357422044,0
110,17590341646572,1000000
111,17590323871116,0
112,17590307095676,0
113,17590290320252,0
114,17590273544844,0
115,17590256769452,0
116,17590239994076,0
117,17590223218716,0
118,17590206443371,0
119,17590189668043,0
120,17590172892731,0
121,17590156117435,0
122,17590139342155,0
123,17590122566891,0
124,17590105791643,0
125,17590089016411,0
126,17590072241195,0
127,17590055465994,0
128,17590038690810,0
129,17590021915642,0
130,17590005140490,0
131,17589988365354,0
132,17589971590234,0
133,17589954815130,0
134,17589938040042,0
135,17589921264969,0
136,17589904489913,0
137,17589887714873,0
138,17589870939849,0
139,17589854164841,0
140,17589837389849,0
141,17589820614873,0
142,17589803839912,0
143,17589787064968,0
144,17589770290040,0
145,17589753515128,0
146,17589736740232,0
147,17589719965352,0
148,17589703190487,0
149,17589686415639,0
150,17589669640807,0
151,17589652865991,0
152,17589636091191,0
153,17589619316407,0
154,17589602541638,0
155,17589585766886,0
156,17589568992150,0
157,17589552217430,0
158,17589535442726,0
159,17589518668037,0
160,17589501893365,0
161,17589485118709,0
162,17589468344069,0
163,17589451569445,0
164,17589434794836,0
165,17589418020244,0
166,17589401245668,0
167,17589384471108,0
168,17589367696564,0
169,17589350922035,0
170,17589334147523,0
171,17589317373027,0
172,17589300598547,0
173,17589283824083,0
174,17589267049634,0
175,17589250275202,0
176,17589233500786,0
177,17589216726386,0
178,17589199952001,0
179,17589183177633,0
180,17589166403281,0
181,17589149628945,0
182,17589132854624,0
183,17589116080320,0
184,17589099306032,0
185,17589082531760,0
186,17589065757503,0
187,17589048983263,0
188,17589032209039,0
189,17589015434831,0
190,17588998660638,0
191,17588981886462,0
192,17588965112302,0
193,17588948338158,0
194,17588931564029,0
195,17588914789917,0
196,17588898015821,0
197,17588881241740,0
198,17588864467676,0
199,17588847693628,0
200,17588830919595,0
201,17588814145579,0
202,17588797371579,0
203,17588780597595,0
204,17588763823626,0
205,17588747049674,0
206,17588730275738,0
207,17588713501817,0
208,17588696727913,0
209,17588679954025,0
210,17588663180152,0
211,17588646406296,0
212,17588629632456,0
213,17588612858631,0
214,17588596084823,0
215,17588579311031,0
216,17588562537254,0
217,17588545763494,0
218,17588528989750,0
219,17588512216021,0
220,17588495442309,0
221,17588478668612,0
222,17588461894932,0
223,17588445121268,0
224,17588428347619,0
225,17588411573987,0
226,17588394800371,0
227,17588378026770,0
228,17588361253186,0
229,17588344479617,0
230,17588327706065,0
231,17588310932529,0
232,17588294159008,0
233,17588277385504,0
234,17588260612015,0
235,17588243838543,0
236,17588227065086,0
237,17588210291646,0
238,17588193518222,0
239,17588176744813,0
240,17588159971421,0
241,17588143198044,0
242,17588126424684,0
243,17588109651339,0
244,17588092878011,0
245,17588076104699,0
246,17588059331402,0
247,17588042558122,0
248,17588025784857,0
249,17588009011609,0
250,17587992238376,0
251,17587975465160,0
252,17587958691959,0
253,17587941918775,0
254,17587925145606,0
255,17587908372454,0
256,17587891599317,0
257,17587874826197,0
258,17587858053092,0
259,17587841280004,0
260,17587824506931,0
261,17587807733875,0
262,17587790960834,0
263,17587774187810,0
264,17587757414801,0
265,17587740641809,0
266,17587723868832,0
267,17587707095872,0
268,17587690322927,0
269,17587673549999,0
270,17587656777086,0
271,17587640004189,0
272,17587623231309,0
273,17587606458444,0
274,17587589685596,0
275,17587572912763,0
276,17587556139947,0
277,17587539367146,0
278,17587522594361,0
279,17587505821593,0
280,17587489048840,0
281,17587472276104,0
282,17587455503383,0
283,17587438730678,0
284,17587421957990,0
285,17587405185317,0
286,17587388412661,0
287,17587371640020,0
288,17587354867395,0
289,17587338094787,0
290,17587321322194,0
291,17587304549617,0
292,17587287777057,0
293,17587271004512,0
294,17587254231984,0
295,17587237459471,0
296,17587220686974,0
297,17587203914494,0
298,17587187142029,0
299,17587170369580,0
300,17587153597148,0
301,17587136824731,0
302,17587120052330,0
303,17587103279945,0
304,17587086507577,0
305,17587069735224,0
306,17587052962887,0
307,17587036190567,0
308,17587019418262,0
309,17587002645973,0
310,17586985873700,0
311,17586969101444,0
312,17586952329203,0
313,17586935556978,0
314,17586918784770,0
315,17586902012577,0
316,17586885240400,0
317,17586868468239,0
318,17586851696094,0
319,17586834923966,0
320,17586818151853,0
321,17586801379756,0
322,17586784607675,0
323,17586767835611,0
324,17586751063562,0
325,17586734291529,0
326,17586717519512,0
327,17586700747511,0
328,17586683975527,0
329,17586667203558,0
330,17586650431605,0
331,17586633659668,0
332,17586616887747,0
333,17586600115842,0
334,17586583343954,0
335,17586566572081,0
336,17586549800224,0
337,17586533028383,0
338,17586516256558,0
339,17586499484749,0
340,17586482712956,0
341,17586465941180,0
342,17586449169419,0
343,17586432397674,0
344,17586415625945,0
345,17586400312676,1458444
346,17586382082535,0
347,17586365310854,0
348,17586348539189,0
349,17586331767540,0
350,17586314995907,0
351,17586298224290,0
352,17586281452690,0
353,17586264681105,0
354,17586247909536,0
355,17586231137983,0
356,17586214366446,0
357,17586197594925,0
358,17586180823420,0
359,17586164051931,0
360,17586147280458,0
361,17586130509001,0
362,17586113737560,0
363,17586096966135,0
364,17586080194726,0
365,17586063423333,0
366,17586046651956,0
367,17586029880595,0
368,17586013109250,0
369,17585996337921,0
370,17585979566608,0
371,17585962795311,0
372,17585946024030,0
373,17585929252765,0
374,17585912481516,0
375,17585895710282,0
376,17585878939065,0
377,17585862167864,0
378,17585845396679,0
379,17585828625510,0
380,17585811854357,0
381,17585795083220,0
382,17585778312099,0
383,17585761540994,0
384,17585744769905,0
385,17585727998832,0
386,17585711227774,0
387,17585694456733,0
388,17585677685708,0
389,17585660914699,0
390,17585644143706,0
391,17585627372729,0
392,17585610601767,0
393,17585593830822,0
394,17585577059893,0
395,17585560288980,0
396,17585543518083,0
397,17585526747202,0
398,17585509976336,0
399,17585493205487,0
400,17585476434654,0
401,17585459663837,0
402,17585442893036,0
403,17585426122250,0
404,17585409351481,0
405,17585392580728,0
406,17585375809991,0
407,17585359039269,0
408,17585342268564,0
409,17585325497875,0
410,17585308727202,0
411,17585291956544,0
412,17585275185903,0
413,17585258415278,0
414,17585241644668,0
415,17585224874075,0
416,17585208103498,0
417,17585191332936,0
418,17585174562391,0
419,17585157791862,0
420,17585141021348,0
421,17585124250851,0
422,17585107480370,0
423,17585090709904,0
424,17585073939455,0
425,17585057169022,0
426,17585040398604,0
427,17585023628203,0
428,17585006857818,0
429,17584990087448,0
430,17584973317095,0
431,17584956546757,0
432,17584939776436,0
433,17584923006130,0
434,17584906235841,0
435,17584889465568,0
436,17584872695310,0
437,17584855925069,0
438,17584839154843,0
439,17584822384634,0
440,17584805614440,0
441,17584788844263,0
442,17584772074101,0
443,17584755303956,0
444,17584738533826,0
445,17584721763713,0
446,17584704993615,0
447,17584688223534,0
448,17584671453468,0
449,17584654683419,0
450,17584637913385,0
451,17584621143368,0
452,17584604373366,0
453,17584587603381,0
454,17584570833411,0
455,17584554063458,0
456,17584537293520,0
457,17584520523598,0
458,17584503753693,0
459,17584486983803,0
460,17584470213930,0
461,17584453444072,0
462,17584436674230,0
463,17584419904405,0
464,17584403134595,0
465,17584386364801,0
466,17584369595024,0
467,17584352825262,0
468,17584336055517,0
469,17584319285787,0
470,17584302516073,0
471,17584285746375,0
472,17584268976694,0
473,17584252207028,0
474,17584235437378,0
475,17584218667745,0
476,17584201898127,0
477,17584185128525,0
478,17584168358940,0
479,17584151589370,0
480,17584134819816,0
481,17584118050278,0
482,17584101280757,0
483,17584084511251,0
484,17584067741761,0
485,17584050972287,0
486,17584034202829,0
487,17584017433388,0
488,17584000663962,0
489,17583983894552,0
490,17583967125158,0
491,17583950355780,0
492,17583933586419,0
493,17583916817073,0
494,17583900047743,0
495,17583883278429,0
496,17583866509131,0
497,17583849739849,0
498,17583832970583,0
499,17583816201333,0
500,17583799432100,0
501,17583782662882,0
502,17583765893680,0
503,17583749124494,0
504,17583732355324,0
505,17583715586170,0
506,17583698817032,0
507,17583682047910,0
508,17583665278804,0
509,17583648509714,0
510,17583631740640,0
511,17583614971582,0
512,17583598202540,0
513,17583581433514,0
514,17583564664504,0
515,17583547895510,0
516,17583531126532,0
517,17583514357570,0
518,17583497588624,0
519,17583480819694,0
520,17583464050780,0
521,17583447281882,0
522,17583430513000,0
523,17583413744134,0
524,17583396975284,0
525,17583380206450,0
526,17583363437632,0
527,17583346668829,0
528,17583329900043,0
529,17583313131273,0
530,17583296362519,0
531,17583279593781,0
532,17583262825059,0
533,17583246056353,0
534,17583229287662,0
535,17583212518988,0
536,17583195750330,0
537,17583178981688,0
538,17583162213062,0
539,17583145444452,0
540,17583128675857,0
541,17583111907279,0
542,17583095138717,0
543,17583078370171,0
544,17583061601640,0
545,17583044833126,0
546,17583028064628,0
547,17583011296146,0
548,17582994527679,0
549,17582977759229,0
550,17582960990795,0
551,17582944222376,0
552,17582927453974,0
553,17582910685588,0
554,17582893917217,0
555,17582877148863,0
556,17582860380525,0
557,17582843612202,0
558,17582826843896,0
559,17582810075606,0
560,17582793307331,0
561,17582776539073,0
562,17582759770831,0
563,17582743002604,0
564,17582726234394,0
565,17582709466199,0
566,17582692698021,0
567,17582675929858,0
568,17582659161712,0
569,17582642393582,0
570,17582625625467,0
571,17582608857369,0
572,17582592089286,0
573,17582575321220,0
574,17582558553169,0
575,17582541785135,0
576,17582525017116,0
577,17582508249114,0
578,17582491481127,0
579,17582474713156,0
580,17582457945202,0
581,17582441177263,0
582,17582424409341,0
583,17582407641434,0
584,17582390873544,0
